ID;PLZ;REGSCHL;ORT;STAND;Sortierung;ART
137945;"47551";"05154004";"Bedburg-Hau";;null;6
137946;"47559";"05154040";"Kranenburg";;null;6
137953;"47574";"05154016";"Goch";;null;6
137955;"47589";"05154056";"Uedem";;null;6
137966;"47608";"05154012";"Geldern";;null;6
137970;"47623";"05154032";"Kevelaer";;null;6
137971;"47624";"05154032";"Kevelaer";;null;6
137972;"47625";"05154032";"Kevelaer";;null;6
137973;"47626";"05154032";"Kevelaer";;null;6
137974;"47627";"05154032";"Kevelaer";;null;6
137979;"47638";"05154052";"Straelen";;null;6
137984;"47647";"05154028";"Kerken";;null;6
137987;"47652";"05154064";"Weeze";;null;6
137990;"47661";"05154020";"Issum";;null;6
137993;"47665";"05170040";"Sonsbeck";;null;6
137996;"47669";"05154060";"Wachtendonk";;null;6
138049;"47798";"05114000";"Krefeld";;null;6
138050;"47799";"05114000";"Krefeld";;null;6
138051;"47800";"05114000";"Krefeld";;null;6
138052;"47802";"05114000";"Krefeld";;null;6
138053;"47803";"05114000";"Krefeld";;null;6
138054;"47804";"05114000";"Krefeld";;null;6
138055;"47805";"05114000";"Krefeld";;null;6
138056;"47807";"05114000";"Krefeld";;null;6
138057;"47809";"05114000";"Krefeld";;null;6
138064;"47829";"05114000";"Krefeld";;null;6
138068;"47839";"05114000";"Krefeld";;null;6
138081;"47877";"05166036";"Willich";;null;6
138101;"47906";"05166012";"Kempen";;null;6
138107;"47918";"05166028";"Tönisvorst";;null;6
138112;"47929";"05166008";"Grefrath";;null;6
138223;"48143";"05515000";"Münster";;null;6
138224;"48145";"05515000";"Münster";;null;6
138225;"48147";"05515000";"Münster";;null;6
138226;"48149";"05515000";"Münster";;null;6
138227;"48151";"05515000";"Münster";;null;6
138228;"48153";"05515000";"Münster";;null;6
138229;"48155";"05515000";"Münster";;null;6
138230;"48157";"05515000";"Münster";;null;6
138231;"48159";"05515000";"Münster";;null;6
138232;"48161";"05515000";"Münster";;null;6
138233;"48163";"05515000";"Münster";;null;6
138234;"48165";"05515000";"Münster";;null;6
138235;"48167";"05515000";"Münster";;null;6
138254;"48231";"05570052";"Warendorf";;null;6
138261;"48249";"05558016";"Dülmen";;null;6
138274;"48268";"05566012";"Greven";;null;6
138281;"48282";"05566008";"Emsdetten";;null;6
138284;"48291";"05570044";"Telgte";;null;6
138290;"48301";"05558032";"Nottuln";;null;6
138293;"48308";"05558044";"Senden";;null;6
138296;"48317";"05570016";"Drensteinfurt";;null;6
138299;"48324";"05570040";"Sendenhorst";;null;6
138302;"48329";"05558020";"Havixbeck";;null;6
138305;"48336";"05570036";"Sassenberg";;null;6
138309;"48341";"05566004";"Altenberge";;null;6
138312;"48346";"05570032";"Ostbevern";;null;6
138316;"48351";"05570024";"Everswinkel";;null;6
138319;"48356";"05566064";"Nordwalde";;null;6
138322;"48361";"05570012";"Beelen";;null;6
138325;"48366";"05566036";"Laer";;null;6
138327;"48369";"05566080";"Saerbeck";;null;6
138345;"48429";"05566076";"Rheine";;null;6
138346;"48431";"05566076";"Rheine";;null;6
138347;"48432";"05566076";"Rheine";;null;6
138352;"48477";"05566016";"Hörstel";;null;6
138356;"48485";"05566060";"Neuenkirchen";;null;6
138360;"48493";"05566096";"Wettringen";;null;6
138362;"48496";"05566020";"Hopsten";;null;6
138375;"48565";"05566084";"Steinfurt";;null;6
138390;"48599";"05554020";"Gronau (Westf.)";;null;6
138397;"48607";"05566068";"Ochtrup";;null;6
138398;"48612";"05566024";"Horstmar";;null;6
138401;"48619";"05554024";"Heek";;null;6
138402;"48624";"05554052";"Schöppingen";;null;6
138405;"48629";"05566052";"Metelen";;null;6
138420;"48653";"05558012";"Coesfeld";;null;6
138433;"48683";"05554004";"Ahaus";;null;6
138437;"48691";"05554068";"Vreden";;null;6
138445;"48703";"05554056";"Stadtlohn";;null;6
138450;"48712";"05554016";"Gescher";;null;6
138454;"48720";"05558040";"Rosendahl";;null;6
138458;"48727";"05558008";"Billerbeck";;null;6
138462;"48734";"05554044";"Reken";;null;6
138465;"48739";"05554036";"Legden";;null;6
138475;"49477";"05566028";"Ibbenbüren";;null;6
138476;"49479";"05566028";"Ibbenbüren";;null;6
138479;"49492";"05566092";"Westerkappeln";;null;6
138480;"49497";"05566056";"Mettingen";;null;6
138484;"49504";"05566048";"Lotte";;null;6
138487;"49509";"05566072";"Recke";;null;6
138496;"49525";"05566040";"Lengerich";;null;6
138500;"49536";"05566044";"Lienen";;null;6
138502;"49545";"05566088";"Tecklenburg";;null;6
138505;"49549";"05566032";"Ladbergen";;null;6
