ID;PLZ;REGSCHL;ORT;ORTSTEIL;STAND
10044;"32791";"05766040";"Lage";"Kachtenhausen";
10045;"32791";"05766040";"Lage";"Lage";
10046;"32791";"05766040";"Lage";"Müssen";
10047;"32791";"05766040";"Lage";"Ohrsen";
10048;"32791";"05766040";"Lage";"Pottenhausen";
10049;"32791";"05766040";"Lage";"Waddenhausen";
10050;"32791";"05766040";"Lage";"Wissentrup";
9283;"32805";"05766032";"Horn-Bad Meinberg";"Bad Meinberg";
9284;"32805";"05766032";"Horn-Bad Meinberg";"Belle";
9285;"32805";"05766032";"Horn-Bad Meinberg";"Bellenberg";
9286;"32805";"05766032";"Horn-Bad Meinberg";"Billerbeck";
9287;"32805";"05766032";"Horn-Bad Meinberg";"Fissenknick";
9288;"32805";"05766032";"Horn-Bad Meinberg";"Fromhausen";
9289;"32805";"05766032";"Horn-Bad Meinberg";"Heesten";
9290;"32805";"05766032";"Horn-Bad Meinberg";"Holzhausen-Externsteine";
9291;"32805";"05766032";"Horn-Bad Meinberg";"Horn";
9292;"32805";"05766032";"Horn-Bad Meinberg";"Kempenfeldrom";
9293;"32805";"05766032";"Horn-Bad Meinberg";"Leopoldstal";
9294;"32805";"05766032";"Horn-Bad Meinberg";"Schmedissen";
9295;"32805";"05766032";"Horn-Bad Meinberg";"Vahlhausen";
9298;"32805";"05766032";"Horn-Bad Meinberg";"Veldrom";
9296;"32805";"05766032";"Horn-Bad Meinberg";"Wehren";
9297;"32805";"05766032";"Horn-Bad Meinberg";"Wilberg";
12121;"32816";"05766060";"Schieder-Schwalenberg";"Brakelsiek";
12122;"32816";"05766060";"Schieder-Schwalenberg";"Glashütte";
12129;"32816";"05766060";"Schieder-Schwalenberg";"Kreienberg";
12123;"32816";"05766060";"Schieder-Schwalenberg";"Lothe";
12124;"32816";"05766060";"Schieder-Schwalenberg";"Ruensiek";
12125;"32816";"05766060";"Schieder-Schwalenberg";"Schieder";
12126;"32816";"05766060";"Schieder-Schwalenberg";"Schwalenberg";
12127;"32816";"05766060";"Schieder-Schwalenberg";"Siekholz";
12128;"32816";"05766060";"Schieder-Schwalenberg";"Wöbbel";
7191;"32825";"05766016";"Blomberg";"Altendonop";
7173;"32825";"05766016";"Blomberg";"Blomberg";
7174;"32825";"05766016";"Blomberg";"Brüntrup";
7175;"32825";"05766016";"Blomberg";"Cappel";
7176;"32825";"05766016";"Blomberg";"Dalborn";
7177;"32825";"05766016";"Blomberg";"Donop";
7178;"32825";"05766016";"Blomberg";"Eschenbruch";
7179;"32825";"05766016";"Blomberg";"Großenmarpe";
7181;"32825";"05766016";"Blomberg";"Herrentrup";
7180;"32825";"05766016";"Blomberg";"Höntrup";
7182;"32825";"05766016";"Blomberg";"Istrup";
7183;"32825";"05766016";"Blomberg";"Kleinenmarpe";
7184;"32825";"05766016";"Blomberg";"Maspe";
7185;"32825";"05766016";"Blomberg";"Mossenberg";
7186;"32825";"05766016";"Blomberg";"Reelkirchen";
7187;"32825";"05766016";"Blomberg";"Siebenhöfen";
7188;"32825";"05766016";"Blomberg";"Tintrup";
7190;"32825";"05766016";"Blomberg";"Wellentrup";
7189;"32825";"05766016";"Blomberg";"Wöhren";
12417;"32839";"05762032";"Steinheim";"Bergheim";
12418;"32839";"05762032";"Steinheim";"Eichholz";
12419;"32839";"05762032";"Steinheim";"Grevenhagen";
12420;"32839";"05762032";"Steinheim";"Hagedorn";
12421;"32839";"05762032";"Steinheim";"Ottenhausen";
12422;"32839";"05762032";"Steinheim";"Rolfzen";
12423;"32839";"05762032";"Steinheim";"Sandebeck";
12424;"32839";"05762032";"Steinheim";"Steinheim";
12425;"32839";"05762032";"Steinheim";"Vinsebeck";
6828;"33014";"05762004";"Bad Driburg";"Alhausen";
6829;"33014";"05762004";"Bad Driburg";"Bad Driburg";
6830;"33014";"05762004";"Bad Driburg";"Bad Hermannsborn";
6831;"33014";"05762004";"Bad Driburg";"Dringenberg";
6832;"33014";"05762004";"Bad Driburg";"Erpentrup";
6833;"33014";"05762004";"Bad Driburg";"Herste";
6834;"33014";"05762004";"Bad Driburg";"Kühlsen";
6835;"33014";"05762004";"Bad Driburg";"Langeland";
6836;"33014";"05762004";"Bad Driburg";"Neuenheerse";
6837;"33014";"05762004";"Bad Driburg";"Pömbsen";
6838;"33014";"05762004";"Bad Driburg";"Reelsen";
6839;"33014";"05762004";"Bad Driburg";"Siebenstern";
7435;"33034";"05762016";"Brakel";"Auenhausen";
7437;"33034";"05762016";"Brakel";"Beller";
7438;"33034";"05762016";"Brakel";"Bellersen";
7439;"33034";"05762016";"Brakel";"Brakel";
7436;"33034";"05762016";"Brakel";"Bökendorf";
7440;"33034";"05762016";"Brakel";"Erkeln";
7441;"33034";"05762016";"Brakel";"Frohnhausen";
7442;"33034";"05762016";"Brakel";"Gehrden";
7443;"33034";"05762016";"Brakel";"Hampenhausen";
7444;"33034";"05762016";"Brakel";"Hembsen";
7445;"33034";"05762016";"Brakel";"Hinnenburg";
7446;"33034";"05762016";"Brakel";"Istrup";
7447;"33034";"05762016";"Brakel";"Rheder";
7448;"33034";"05762016";"Brakel";"Riesel";
7449;"33034";"05762016";"Brakel";"Schmechten";
7450;"33034";"05762016";"Brakel";"Siddessen";
11257;"33039";"05762028";"Nieheim";"Entrup";
11251;"33039";"05762028";"Nieheim";"Himmighausen";
11255;"33039";"05762028";"Nieheim";"Holzhausen";
11256;"33039";"05762028";"Nieheim";"Merlsheim";
11252;"33039";"05762028";"Nieheim";"Nieheim";
11253;"33039";"05762028";"Nieheim";"Oeynhausen";
11254;"33039";"05762028";"Nieheim";"Sommersell";
11549;"33098";"05774032";"Paderborn";"Kernstadt";
11545;"33100";"05774032";"Paderborn";"Benhausen";
11546;"33100";"05774032";"Paderborn";"Dahl";
11550;"33100";"05774032";"Paderborn";"Kernstadt";
11554;"33100";"05774032";"Paderborn";"Marienloh";
11557;"33100";"05774032";"Paderborn";"Neuenbeken";
11551;"33102";"05774032";"Paderborn";"Kernstadt";
11555;"33102";"05774032";"Paderborn";"Marienloh";
11560;"33102";"05774032";"Paderborn";"Schloß Neuhaus";
11547;"33104";"05774032";"Paderborn";"Elsen";
11552;"33104";"05774032";"Paderborn";"Kernstadt";
11556;"33104";"05774032";"Paderborn";"Marienloh";
11558;"33104";"05774032";"Paderborn";"Sande";
11561;"33104";"05774032";"Paderborn";"Schloß Neuhaus";
11563;"33104";"05774032";"Paderborn";"Sennelager";
11548;"33106";"05774032";"Paderborn";"Elsen";
11553;"33106";"05774032";"Paderborn";"Kernstadt";
11559;"33106";"05774032";"Paderborn";"Sande";
11562;"33106";"05774032";"Paderborn";"Schloß Neuhaus";
11564;"33106";"05774032";"Paderborn";"Sennelager";
11566;"33106";"05774032";"Paderborn";"Wewer";
7560;"33129";"05774020";"Delbrück";"Anreppen";
7561;"33129";"05774020";"Delbrück";"Bentfeld";
7562;"33129";"05774020";"Delbrück";"Boke";
7563;"33129";"05774020";"Delbrück";"Delbrück";
7564;"33129";"05774020";"Delbrück";"Hagen";
7565;"33129";"05774020";"Delbrück";"Lippling";
7566;"33129";"05774020";"Delbrück";"Ostenland";
7567;"33129";"05774020";"Delbrück";"Schöning";
