Datum;Tabelle
"04.05.2009 09:51:30";"ZulKuArt"
"04.05.2015 16:59:50";"ZulFächer"
"04.05.2016 13:25:47";"Herkunftsart"
"04.05.2018 08:32:22";"Gliederung"
"04.05.2018 16:07:15";"ZulKuArt"
"04.05.2022 09:56:22";"Fachklasse"
"04.05.2022 10:20:42";"LehrerFachrichtung"
"04.05.2022 10:21:58";"LehrerLehrbefaehigung"
"04.06.2009 12:13:02";"Fachklasse"
"04.06.2009 12:39:47";"Fachklasse"
"04.06.2009 12:39:51";"Fachklasse"
"04.06.2009 12:51:29";"Fachklasse"
"04.06.2009 12:51:55";"Fachklasse"
"04.06.2009 12:52:11";"Fachklasse"
"04.06.2009 16:42:45";"Gliederung"
"04.06.2013 08:19:15";"Fachklasse"
"04.06.2013 16:23:53";"Abgangsart"
"04.06.2014 14:32:01";"Gliederung"
"04.07.2011 12:16:47";"ZulJahrgänge"
"04.07.2011 14:00:45";"Förderschwerpunkt"
"04.07.2011 15:15:25";"AndereGrundschulen"
"04.07.2016 10:56:24";"Abgangsart"
"04.07.2019 13:57:08";"Fachklasse"
"04.08.2022 14:35:39";"ZulFächer"
"04.09.2009 09:33:33";"Fachklasse"
"04.09.2009 09:36:31";"Fachklasse"
"04.09.2009 09:38:41";"Fachklasse"
"04.09.2009 09:41:10";"Fachklasse"
"04.09.2009 11:55:08";"Fachklasse"
"04.09.2009 11:55:27";"Fachklasse"
"04.09.2009 11:55:34";"Fachklasse"
"04.09.2009 11:55:56";"Fachklasse"
"04.09.2009 11:56:07";"Fachklasse"
"04.09.2009 11:56:20";"Fachklasse"
"04.09.2014 07:46:53";"Fachklasse"
"04.09.2014 13:07:18";"Gliederung"
"04.09.2014 15:29:17";"ZulFächer"
"04.10.2013 08:15:50";"ZulJahrgänge_Kurzbez"
"04.10.2013 08:19:29";"ZulJahrgänge"
"04.10.2018 14:54:30";"Fachklasse"
"04.10.2019 07:29:19";"Fachklasse"
"04.12.2018 14:28:11";"Fachklasse"
"05.01.2015 12:21:40";"Fachklasse"
"05.01.2017 16:26:00";"Abgangsart"
"05.02.2009 08:00:18";"Fachklasse"
"05.02.2009 08:01:43";"Fachklasse"
"05.02.2009 08:03:21";"Fachklasse"
"05.02.2009 08:04:43";"Fachklasse"
"05.02.2009 08:06:49";"Fachklasse"
"05.02.2009 08:10:36";"Fachklasse"
"05.02.2009 08:11:06";"Gliederung"
"05.02.2009 08:11:09";"Gliederung"
"05.02.2009 08:11:27";"Gliederung"
"05.02.2009 08:13:20";"Gliederung"
"05.02.2009 08:16:53";"Gliederung"
"05.02.2009 08:17:09";"Gliederung"
"05.02.2009 08:21:01";"Gliederung"
"05.02.2009 08:21:43";"Fachklasse"
"05.02.2009 08:24:32";"Herkunftsart"
"05.02.2009 08:24:37";"Herkunftsart"
"05.02.2009 08:27:04";"Förderschwerpunkt"
"05.02.2009 10:55:53";"Organisationsform"
"05.02.2009 10:55:54";"Organisationsform"
"05.02.2009 10:55:56";"Organisationsform"
"05.02.2009 10:55:58";"Organisationsform"
"05.02.2009 10:55:59";"Organisationsform"
"05.02.2009 10:56:02";"Organisationsform"
"05.02.2009 10:56:06";"Organisationsform"
"05.02.2009 10:56:07";"Organisationsform"
"05.02.2009 10:56:21";"Organisationsform"
"05.02.2009 10:56:34";"Organisationsform"
"05.02.2009 10:56:42";"Organisationsform"
"05.02.2009 10:56:53";"Organisationsform"
"05.02.2009 10:57:03";"Organisationsform"
"05.02.2009 10:57:06";"Organisationsform"
"05.02.2009 10:57:09";"Organisationsform"
"05.02.2009 10:57:12";"Organisationsform"
"05.02.2009 10:57:16";"Organisationsform"
"05.02.2009 10:57:29";"Organisationsform"
"05.02.2009 10:58:33";"Organisationsform"
"05.02.2009 10:58:45";"Organisationsform"
"05.02.2009 10:58:45";"Organisationsform"
"05.02.2009 10:58:45";"Organisationsform"
"05.02.2009 10:58:46";"Organisationsform"
"05.02.2009 10:58:46";"Organisationsform"
"05.02.2009 10:58:46";"Organisationsform"
"05.02.2009 10:58:46";"Organisationsform"
"05.02.2009 10:58:47";"Organisationsform"
"05.02.2009 10:58:47";"Organisationsform"
"05.02.2009 10:58:47";"Organisationsform"
"05.02.2009 10:59:02";"Organisationsform"
"05.02.2009 10:59:03";"Organisationsform"
"05.02.2009 10:59:04";"Organisationsform"
"05.02.2009 10:59:06";"Organisationsform"
"05.02.2009 10:59:11";"Organisationsform"
"05.02.2009 10:59:13";"Organisationsform"
"05.02.2009 10:59:14";"Organisationsform"
"05.02.2009 10:59:16";"Organisationsform"
"05.02.2009 10:59:18";"Organisationsform"
"05.02.2009 10:59:30";"Organisationsform"
"05.02.2009 10:59:34";"Organisationsform"
"05.02.2009 10:59:36";"Organisationsform"
"05.02.2009 10:59:39";"Organisationsform"
"05.02.2009 10:59:42";"Organisationsform"
"05.02.2009 10:59:45";"Organisationsform"
"05.02.2009 10:59:48";"Organisationsform"
"05.02.2009 10:59:51";"Organisationsform"
"05.02.2009 11:00:00";"Organisationsform"
"05.02.2009 11:00:03";"Organisationsform"
"05.02.2009 11:00:05";"Organisationsform"
"05.02.2009 11:00:06";"Organisationsform"
"05.02.2009 11:00:09";"Organisationsform"
"05.02.2009 11:00:11";"Organisationsform"
"05.02.2009 11:00:16";"Organisationsform"
"05.02.2009 11:00:19";"Organisationsform"
"05.02.2009 11:00:22";"Organisationsform"
"05.02.2009 11:00:24";"Organisationsform"
"05.02.2009 11:00:27";"Organisationsform"
"05.02.2009 11:00:37";"Organisationsform"
"05.02.2009 11:00:51";"Organisationsform"
"05.02.2009 11:32:46";"Religionen"
"05.02.2009 11:33:46";"Organisationsform"
"05.02.2009 11:33:53";"Organisationsform"
"05.02.2009 11:33:58";"Organisationsform"
"05.02.2009 11:34:05";"Organisationsform"
"05.02.2009 11:34:10";"Organisationsform"
"05.02.2009 11:34:15";"Organisationsform"
"05.02.2009 11:34:20";"Organisationsform"
"05.02.2009 11:34:26";"Organisationsform"
"05.02.2009 11:34:32";"Organisationsform"
"05.02.2009 11:34:40";"Organisationsform"
"05.02.2009 11:34:46";"Organisationsform"
"05.02.2009 11:34:53";"Organisationsform"
"05.02.2009 11:34:58";"Organisationsform"
"05.02.2009 11:35:03";"Organisationsform"
"05.02.2009 11:35:08";"Organisationsform"
"05.02.2009 11:35:17";"Organisationsform"
"05.02.2009 11:35:22";"Organisationsform"
"05.02.2009 11:36:21";"Organisationsform"
"05.02.2009 11:37:30";"Organisationsform"
"05.02.2009 15:47:52";"ZulFächer"
"05.02.2009 15:48:15";"ZulFächer"
"05.02.2009 15:48:19";"ZulFächer"
"05.02.2009 15:48:47";"ZulFächer"
"05.02.2014 08:27:03";"Fachklasse"
"05.03.2014 16:10:05";"LehrerLehrbefaehigung"
"05.03.2015 16:01:02";"ZulJahrgänge"
"05.03.2018 14:16:17";"Fachklasse"
"05.03.2021 16:34:45";"Fachklasse"
"05.03.2021 17:27:40";"LehrerAnrechnung"
"05.04.2013 16:05:09";"Gliederung"
"05.04.2018 14:11:57";"ZulFächer"
"05.04.2019 10:46:38";"Gliederung"
"05.04.2022 17:09:57";"ZulFächer"
"05.05.2011 11:24:56";"Fachklasse"
"05.05.2022 09:19:00";"Fachklasse"
